record_date,bank_id,city,blood_group,inventory_ratio,day_of_week,month,emergency_event_flag,requests_received_rolling_7d,donations_received_rolling_7d,inventory_ratio_rolling_7d,request_donation_gap_7d,shortage_next_day,data_origin,generation_seed
2024-01-04,bank_001,Kanpur,A+,0.6293706293706294,3,1,0,18.666666666666668,20.0,0.634032634032634,-1.333333333333332,0,SYNTHETIC_DATA_SET,42
2024-01-05,bank_001,Kanpur,A+,0.6433566433566433,4,1,0,19.0,19.0,0.6328671328671329,0.0,0,SYNTHETIC_DATA_SET,42
2024-01-06,bank_001,Kanpur,A+,0.5804195804195804,5,1,0,19.4,19.8,0.634965034965035,-0.4000000000000021,0,SYNTHETIC_DATA_SET,42
2024-01-07,bank_001,Kanpur,A+,0.5734265734265734,6,1,1,20.0,18.83333333333333,0.6258741258741258,1.166666666666668,0,SYNTHETIC_DATA_SET,42
2024-01-08,bank_001,Kanpur,A+,0.6013986013986014,0,1,0,19.857142857142858,19.0,0.6183816183816183,0.8571428571428577,0,SYNTHETIC_DATA_SET,42
2024-01-09,bank_001,Kanpur,A+,0.6503496503496503,1,1,0,20.0,19.857142857142858,0.6123876123876124,0.1428571428571423,0,SYNTHETIC_DATA_SET,42
2024-01-10,bank_001,Kanpur,A+,0.6433566433566433,2,1,0,18.571428571428573,20.428571428571427,0.6213786213786213,-1.857142857142854,0,SYNTHETIC_DATA_SET,42
2024-01-11,bank_001,Kanpur,A+,0.7132867132867133,3,1,0,18.0,18.0,0.6173826173826173,0.0,0,SYNTHETIC_DATA_SET,42
2024-01-12,bank_001,Kanpur,A+,0.7622377622377622,4,1,0,16.571428571428573,18.714285714285715,0.6293706293706294,-2.1428571428571423,0,SYNTHETIC_DATA_SET,42
2024-01-13,bank_001,Kanpur,A+,0.7342657342657343,5,1,0,15.142857142857142,18.571428571428573,0.6463536463536464,-3.4285714285714306,0,SYNTHETIC_DATA_SET,42
2024-01-14,bank_001,Kanpur,A+,0.7412587412587412,6,1,0,13.285714285714286,18.142857142857142,0.6683316683316683,-4.857142857142856,0,SYNTHETIC_DATA_SET,42
2024-01-15,bank_001,Kanpur,A+,0.7482517482517482,0,1,0,13.142857142857142,18.142857142857142,0.6923076923076923,-5.0,0,SYNTHETIC_DATA_SET,42
2024-01-16,bank_001,Kanpur,A+,0.9370629370629372,1,1,0,13.857142857142858,18.571428571428573,0.7132867132867133,-4.714285714285715,0,SYNTHETIC_DATA_SET,42
2024-01-17,bank_001,Kanpur,A+,1.0,2,1,0,13.428571428571429,21.142857142857142,0.7542457542457542,-7.7142857142857135,0,SYNTHETIC_DATA_SET,42
2024-01-18,bank_001,Kanpur,A+,1.0,3,1,0,12.0,21.857142857142858,0.8051948051948052,-9.857142857142858,0,SYNTHETIC_DATA_SET,42
2024-01-19,bank_001,Kanpur,A+,1.0,4,1,0,13.142857142857142,22.0,0.8461538461538461,-8.857142857142858,0,SYNTHETIC_DATA_SET,42
2024-01-20,bank_001,Kanpur,A+,0.9230769230769232,5,1,0,13.142857142857142,21.857142857142858,0.8801198801198803,-8.714285714285715,0,SYNTHETIC_DATA_SET,42
2024-01-21,bank_001,Kanpur,A+,0.9790209790209792,6,1,0,15.285714285714286,22.428571428571427,0.9070929070929072,-7.142857142857141,0,SYNTHETIC_DATA_SET,42
2024-01-22,bank_001,Kanpur,A+,1.0,0,1,0,13.857142857142858,21.857142857142858,0.9410589410589412,-8.0,0,SYNTHETIC_DATA_SET,42
2024-01-23,bank_001,Kanpur,A+,0.993006993006993,1,1,1,13.428571428571429,22.857142857142858,0.9770229770229772,-9.428571428571429,0,SYNTHETIC_DATA_SET,42
2024-01-24,bank_001,Kanpur,A+,1.0,2,1,0,14.714285714285714,20.285714285714285,0.985014985014985,-5.571428571428571,0,SYNTHETIC_DATA_SET,42
2024-01-25,bank_001,Kanpur,A+,0.951048951048951,3,1,0,15.428571428571429,22.714285714285715,0.985014985014985,-7.2857142857142865,0,SYNTHETIC_DATA_SET,42
2024-01-26,bank_001,Kanpur,A+,0.9230769230769232,4,1,0,15.857142857142858,21.714285714285715,0.978021978021978,-5.857142857142858,0,SYNTHETIC_DATA_SET,42
2024-01-27,bank_001,Kanpur,A+,0.8041958041958042,5,1,0,17.714285714285715,21.714285714285715,0.967032967032967,-4.0,0,SYNTHETIC_DATA_SET,42
2024-01-28,bank_001,Kanpur,A+,0.8601398601398601,6,1,0,17.714285714285715,21.0,0.95004995004995,-3.2857142857142847,0,SYNTHETIC_DATA_SET,42
2024-01-29,bank_001,Kanpur,A+,0.7622377622377622,0,1,0,19.714285714285715,23.0,0.9330669330669332,-3.2857142857142847,0,SYNTHETIC_DATA_SET,42
2024-01-30,bank_001,Kanpur,A+,0.7692307692307693,1,1,0,21.571428571428573,21.428571428571427,0.8991008991008992,0.1428571428571459,0,SYNTHETIC_DATA_SET,42
2024-01-31,bank_001,Kanpur,A+,0.7972027972027972,2,1,0,21.0,21.142857142857142,0.8671328671328672,-0.1428571428571423,0,SYNTHETIC_DATA_SET,42
2024-02-01,bank_001,Kanpur,A+,0.6993006993006993,3,2,0,20.428571428571427,17.714285714285715,0.8381618381618382,2.714285714285712,0,SYNTHETIC_DATA_SET,42
2024-02-02,bank_001,Kanpur,A+,0.7902097902097902,4,2,0,20.571428571428573,17.285714285714285,0.8021978021978022,3.2857142857142883,0,SYNTHETIC_DATA_SET,42
2024-02-03,bank_001,Kanpur,A+,0.7972027972027972,5,2,0,20.714285714285715,20.0,0.7832167832167832,0.7142857142857153,0,SYNTHETIC_DATA_SET,42
2024-02-04,bank_001,Kanpur,A+,0.8321678321678322,6,2,0,18.714285714285715,20.285714285714285,0.7822177822177823,-1.5714285714285694,0,SYNTHETIC_DATA_SET,42
2024-02-05,bank_001,Kanpur,A+,0.8601398601398601,0,2,0,18.142857142857142,19.285714285714285,0.7782217782217782,-1.1428571428571423,0,SYNTHETIC_DATA_SET,42
2024-02-06,bank_001,Kanpur,A+,0.8321678321678322,1,2,0,17.142857142857142,20.714285714285715,0.7922077922077921,-3.571428571428573,0,SYNTHETIC_DATA_SET,42
2024-02-07,bank_001,Kanpur,A+,0.8461538461538461,2,2,0,16.428571428571427,19.285714285714285,0.8011988011988012,-2.8571428571428577,0,SYNTHETIC_DATA_SET,42
2024-02-08,bank_001,Kanpur,A+,0.8671328671328671,3,2,0,17.285714285714285,19.714285714285715,0.8081918081918081,-2.4285714285714306,0,SYNTHETIC_DATA_SET,42
2024-02-09,bank_001,Kanpur,A+,0.8251748251748252,4,2,0,16.0,20.571428571428573,0.8321678321678322,-4.571428571428573,0,SYNTHETIC_DATA_SET,42
2024-02-10,bank_001,Kanpur,A+,0.8881118881118881,5,2,0,15.285714285714286,16.857142857142858,0.8371628371628371,-1.5714285714285712,0,SYNTHETIC_DATA_SET,42
2024-02-11,bank_001,Kanpur,A+,0.7132867132867133,6,2,1,15.714285714285714,18.571428571428573,0.8501498501498501,-2.8571428571428594,0,SYNTHETIC_DATA_SET,42
2024-02-12,bank_001,Kanpur,A+,0.6503496503496503,0,2,0,19.0,17.857142857142858,0.8331668331668333,1.1428571428571423,0,SYNTHETIC_DATA_SET,42
2024-02-13,bank_001,Kanpur,A+,0.7412587412587412,1,2,0,20.714285714285715,17.714285714285715,0.8031968031968032,3.0,0,SYNTHETIC_DATA_SET,42
2024-02-14,bank_001,Kanpur,A+,0.6923076923076923,2,2,1,21.428571428571427,20.714285714285715,0.7902097902097902,0.7142857142857117,0,SYNTHETIC_DATA_SET,42
2024-02-15,bank_001,Kanpur,A+,0.7342657342657343,3,2,0,21.142857142857142,19.285714285714285,0.7682317682317683,1.8571428571428577,0,SYNTHETIC_DATA_SET,42
2024-02-16,bank_001,Kanpur,A+,0.8181818181818182,4,2,0,20.857142857142858,19.142857142857142,0.7492507492507493,1.7142857142857153,0,SYNTHETIC_DATA_SET,42
2024-02-17,bank_001,Kanpur,A+,0.7552447552447552,5,2,0,19.571428571428573,20.571428571428573,0.7482517482517483,-1.0,0,SYNTHETIC_DATA_SET,42
